state,year,GISJOIN,FIPS,total_state_pop,ag_reconnect,airport_infrastructure,airport_terminal,asap,bridge,buses,capital_investment,clean_school_bus,doe_nuclear,doi_aging_infra,doi_rural_water,doi_water_recycle,doi_water_storage,ferry_rural_comms,fra_rail_cross,fs_wildfire,fta_rail_vehicle,indian_water,infra,low_no_emission,natural_gas,ntia_middle_mile,ports,raise,reconnect_community,rural_surface,safe_streets,tribal_broadband,usace,cdbg_entitlement,coc,home,public_hsg,public_hsg_cap,elderly,hcv,s8_project,fy_2022_ttp,fta_5307_5340,fta_5310,fta_5339,fta_5329_e,fhwa_nhpp,fhwa_stp,fhwa_safety,fhwa_railway,fhwa_cmaq,fhwa_metro_plan,fhwa_highway_freight,fhwa_carbon,fhwa_protect,fhwa_bridge,fhwa_ev,fhwa_app,doe_bead_initial,doe_weatherization,nhtsa,fmcsa_21,fta_5305_combined,fta_5311_combined,fta_5337_combined,dwsrf_lead_combined,cwsrf_general_combined,dwsrf_general_combined,dwsrf_emerging_combined,cwsrf_emerging_combined
RI,2022,G440,44,1057798,NA,NA,NA,NA,NA,NA,NA,0.901960784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0.904761905,0.882352941,NA,NA,1,NA,NA,0.941176471,0.764705882,0.941176471,0.941176471,0.941176471,1,0.803921569,1,0.388888889,0.882352941,0.956521739,0.862745098,NA,0.84,0.84,0.84,0.66,0.76,0.86,0.84,0.84,0.84,0.843137255,0.843137255,NA,0.862745098,0.66,0.980392157,0.62745098,0.882352941,0.42,0.534883721,0.862745098,0.882352941,0.862745098,0.882352941,0.882352941
SC,2022,G450,45,5091517,NA,0.352941176,NA,NA,0.458333333,NA,NA,1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0.073170732,0.666666667,NA,NA,0,NA,NA,0.081632653,NA,NA,0.196078431,0.078431373,0.137254902,0.568627451,0.470588235,0.411764706,0.196078431,0.411764706,0.25,0.137254902,0.369565217,0.098039216,NA,0.5,0.5,0.5,0.52,0.06,0.08,0.5,0.5,0.5,0.196078431,0.509803922,NA,0.431372549,0.16,0.215686275,0.411764706,0.117647059,0.64,0.046511628,0.215686275,0.176470588,0.215686275,0.215686275,0.176470588
SD,2022,G460,46,879336,0.785714286,NA,0.195121951,NA,NA,0.172413793,NA,0.549019608,NA,NA,0.4,NA,NA,NA,NA,0.19047619,NA,NA,NA,0.195121951,NA,NA,NA,0.843137255,NA,1,0,0.347826087,NA,0.37254902,0.039215686,0.254901961,0.176470588,0.274509804,0.019607843,0.176470588,0.725490196,0.944444444,0.078431373,NA,0.882352941,NA,0.92,0.92,0.92,0.98,0.9,0.9,0.9,0.92,0.92,0.862745098,0.901960784,NA,0.901960784,0.9,0.901960784,0.941176471,0.901960784,0.76,NA,0.921568627,0.823529412,0.921568627,0.921568627,0.823529412
TN,2022,G470,47,6772268,NA,0.764705882,0.146341463,NA,0.041666667,0.931034483,0.380952381,0.470588235,NA,NA,NA,NA,NA,NA,0.806451613,NA,NA,NA,0.227272727,0.682926829,0.055555556,NA,NA,0.588235294,NA,NA,0.163265306,NA,NA,0.176470588,0.235294118,0.352941176,0.62745098,0.68627451,0.431372549,0.235294118,0.705882353,0,0.352941176,0.282608696,0.039215686,0.172413793,0.42,0.42,0.44,0.34,0.36,0.18,0.42,0.42,0.42,0.235294118,0.431372549,0.5,0.294117647,0.32,0.68627451,0.490196078,0.156862745,0.92,0.255813953,0.235294118,0.215686275,0.235294118,0.235294118,0.215686275
TX,2022,G480,48,28635442,0.285714286,0.294117647,0.536585366,NA,0.083333333,0.103448276,0.238095238,0.37254902,NA,NA,NA,0,NA,NA,0.741935484,NA,NA,NA,0,0.512195122,NA,0.515151515,0.095238095,0.137254902,0.064516129,NA,0.632653061,0.043478261,0.625,0.392156863,0.333333333,0.117647059,0.235294118,0.215686275,0.176470588,0.392156863,0.215686275,0.111111111,0.529411765,0.52173913,0.058823529,0.137931034,0.56,0.56,0.56,0.3,0.4,0.4,0.52,0.56,0.56,0.019607843,0.529411765,NA,0.019607843,0.06,0.078431373,0.509803922,0.470588235,0.08,0.372093023,0.274509804,0.058823529,0.274509804,0.274509804,0.058823529
UT,2022,G490,49,3151239,NA,NA,NA,NA,0.75,0.379310345,0.80952381,0.294117647,NA,0.909090909,NA,0.8,NA,NA,0.451612903,0.761904762,0.8,0.6,NA,NA,NA,NA,NA,0.549019608,0.774193548,0.272727273,0.428571429,0.47826087,0.03125,0.078431373,0.274509804,0,0.019607843,0.019607843,0.078431373,0.098039216,0.078431373,0.777777778,0.745098039,0.543478261,0.647058824,0.931034483,0.24,0.24,0.28,0.24,0.22,0.58,0.2,0.24,0.24,0.333333333,0.215686275,NA,0.588235294,0.36,0.156862745,0.470588235,0.509803922,0.26,0.697674419,0.470588235,0.117647059,0.470588235,0.470588235,0.117647059
VT,2022,G500,50,624340,NA,NA,NA,NA,NA,0.655172414,NA,0.862745098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.951219512,NA,NA,NA,0.980392157,NA,NA,0.040816327,NA,0.15625,0.843137255,0.705882353,0.901960784,0.039215686,0.058823529,0.666666667,0.882352941,0.882352941,NA,0.058823529,NA,0.980392157,NA,0.9,0.9,0.94,0.9,0.98,1,0.92,0.9,0.9,0.980392157,0.921568627,NA,0.980392157,0.92,1,0.921568627,0.980392157,0.84,NA,0.980392157,0.941176471,0.980392157,0.980392157,0.941176471
VA,2022,G510,51,8509358,NA,NA,0.731707317,NA,NA,NA,0.047619048,0.705882353,NA,NA,NA,NA,NA,NA,0.290322581,NA,NA,NA,NA,0.243902439,0.555555556,NA,NA,0.431372549,0.548387097,0.363636364,0.408163265,0,0.75,0.058823529,0.254901961,0.039215686,0.431372549,0.431372549,0.294117647,0.607843137,0.294117647,0.083333333,0.725490196,0.630434783,0.392156863,0,0.34,0.34,0.4,0.2,0.42,0.38,0.32,0.34,0.34,0.274509804,0.333333333,0.6,0.215686275,0.22,0.549019608,0.196078431,0.450980392,0.86,0.790697674,0.019607843,0.333333333,0.019607843,0.019607843,0.333333333
WA,2022,G530,53,7512465,0,NA,0.658536585,0.25,0.791666667,0.24137931,0.952380952,0.039215686,NA,0.363636364,NA,0.2,0,NA,0.838709677,0.857142857,NA,NA,0.181818182,0.609756098,NA,0.242424242,0.857142857,0.68627451,0.322580645,NA,0.857142857,0.652173913,0.34375,0.254901961,0.862745098,0.215686275,0.392156863,0.254901961,0.549019608,0.843137255,0.137254902,0.75,0.764705882,0.608695652,0.607843137,0.517241379,0.06,0.06,0.06,0.22,0.28,0.5,0.06,0.06,0.06,0.490196078,0.078431373,NA,0.235294118,0.3,0.294117647,0.31372549,0.549019608,0.18,0.744186047,0.392156863,0.274509804,0.392156863,0.392156863,0.274509804
WV,2022,G540,54,1807426,NA,0.882352941,0.829268293,NA,NA,NA,NA,0.196078431,NA,NA,NA,NA,NA,NA,0.193548387,NA,NA,NA,NA,NA,0.611111111,0.787878788,NA,0.62745098,0.741935484,0.818181818,0.448979592,NA,0.46875,0.764705882,0.37254902,0.705882353,0.647058824,0.705882353,0.921568627,0.37254902,0.549019608,NA,0.176470588,0,0.68627451,0.793103448,0.88,0.88,0.88,0.7,0.62,0.48,0.88,0.88,0.88,0.921568627,0.882352941,1,0.745098039,0.86,0.745098039,0.705882353,0.274509804,1,0.23255814,0.745098039,1,0.745098039,0.745098039,1
WI,2022,G550,55,5806975,NA,NA,0.073170732,NA,NA,NA,0.619047619,0.784313725,NA,NA,NA,NA,NA,NA,0.612903226,0.285714286,NA,NA,0.727272727,0.048780488,NA,NA,0.19047619,0.31372549,NA,NA,0.510204082,0.434782609,0.1875,0.68627451,0.411764706,0.647058824,0.117647059,0.31372549,0.137254902,0.058823529,0.568627451,0.638888889,0.411764706,0.217391304,0.294117647,0.24137931,0.46,0.46,0.46,0.62,0.26,0.26,0.46,0.46,0.46,0.078431373,0.470588235,NA,0.37254902,0.78,0.37254902,0.549019608,0.254901961,0.4,0.209302326,0.333333333,0.705882353,0.333333333,0.333333333,0.725490196
WY,2022,G560,56,581348,0.821428571,NA,0.975609756,NA,NA,NA,NA,0.176470588,NA,1,NA,NA,NA,NA,NA,0.619047619,NA,NA,NA,NA,NA,NA,NA,0.117647059,NA,NA,0.387755102,NA,NA,0,0.019607843,0.921568627,0.156862745,0.156862745,0.333333333,0.019607843,0.392156863,0.861111111,0.019607843,NA,1,NA,0.98,0.98,0.98,0.94,0.96,0.96,0.98,0.98,0.98,1,0.980392157,NA,1,0.88,0.960784314,0.960784314,1,0.82,NA,1,0.980392157,1,1,0.980392157
PR,2022,G720,72,3255642,0.142857143,NA,NA,NA,NA,NA,NA,0.509803922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.863636364,0.658536585,NA,0.484848485,NA,0.490196078,0.709677419,NA,0.020408163,NA,0.84375,0.980392157,0.607843137,0.980392157,0.980392157,1,0.68627451,0.450980392,0.68627451,NA,0.647058824,0.97826087,0.352941176,0.551724138,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.31372549,0,NA,0.568627451,NA,0.392156863,0.019607843,0.862745098,0.14,0.418604651,0.431372549,0.588235294,0.431372549,0.431372549,0.607843137
