"","program","percent_poc","percent_poc_funded","poverty_rate","poverty_rate_funded","pop_density","pop_density_funded","med_hh_income","med_hh_income_funded","access_to_car","access_to_car_funded","age_over_64","age_over_64_funded","age_under_18","age_under_18_funded","airports_primary","airports_primary_funded","annual_vehicle_mi_per_hh","annual_vehicle_mi_per_hh_funded","avg_hh_person_trips","avg_hh_person_trips_funded","bridges","bridges_funded","bridges_poor_condition","bridges_poor_condition_funded","broadband_speed","broadband_speed_funded","capacity_environment","capacity_environment_funded","capacity_housing","capacity_housing_funded","capacity_transport","capacity_transport_funded","cnw_500","cnw_500_funded","commute_time","commute_time_funded","contaminated_sites","contaminated_sites_funded","diesel_pm","diesel_pm_funded","docks","docks_funded","employment_access_index","employment_access_index_funded","freq_fatal_accidents","freq_fatal_accidents_funded","ghg_per_acre","ghg_per_acre_funded","green_commute","green_commute_funded","hh_int_access","hh_int_access_funded","highway_miles","highway_miles_funded","homelessness","homelessness_funded","housing_cost_burden","housing_cost_burden_funded","housing_units","housing_units_funded","hud_202","hud_202_funded","hud_hcv","hud_hcv_funded","hud_pbs8","hud_pbs8_funded","hud_ph","hud_ph_funded","incomplete_kitchen","incomplete_kitchen_funded","incomplete_plumbing","incomplete_plumbing_funded","overcrowded_housing","overcrowded_housing_funded","ozone","ozone_funded","permits","permits_funded","pm25","pm25_funded","pub_transit_commute","pub_transit_commute_funded","pub_transit_stops","pub_transit_stops_funded","rail_transit_km","rail_transit_km_funded","rr_freight_route_miles","rr_freight_route_miles_funded","rr_incident_killed","rr_incident_killed_funded","rr_incident_number","rr_incident_number_funded","rr_pax_route_miles","rr_pax_route_miles_funded","stations_elevated","stations_elevated_funded","stations_subway","stations_subway_funded","superfund_site","superfund_site_funded","transport_costs","transport_costs_funded","vacancy_rate","vacancy_rate_funded","water_system_violations","water_system_violations_funded"
"27","indian_water",-0.745341614906832,-0.332815734989648,-0.746583850931677,-0.131366459627329,-0.749689440993789,-0.384627329192547,-0.747281764523144,-0.091721031376204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.747442455242967,-0.156649616368287,NA,NA,NA,NA,NA,NA,NA,NA,-0.744597249508841,-0.175139161755075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.74968112244898,-0.074139030612245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.748442367601246,0.0087616822429907,NA,NA,NA,NA,NA,NA
"28","infra",-0.745031055900621,-0.514178624973227,-0.747826086956522,-0.0960591133004927,-0.744099378881988,-0.495202398800599,-0.747903075489282,-0.0827896862379623,NA,NA,NA,NA,NA,NA,NA,NA,-0.749442852594715,0.103810558903929,-0.744901210962396,-0.46140744159469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.747122762148338,-0.213301437516536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.74930216329379,-0.000294775850037003,NA,NA,NA,NA,NA,NA,-0.749362244897959,0.120084887403237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.749681731381286,0.197139972343555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.735752944921999,-0.0460977725082063,NA,NA,NA,NA
"29","low_no_emission",-0.728260869565217,-0.376135671659969,-0.741925465838509,-0.194042544554054,-0.710869565217391,-0.438058701741567,-0.746349798073936,-0.211617296809994,-0.730434782608696,-0.255456095481671,NA,NA,NA,NA,NA,NA,-0.748010187838268,0.0569601288461902,-0.717495219885277,-0.337732288581462,NA,NA,NA,NA,NA,NA,-0.736572890025575,-0.188547882921284,NA,NA,-0.733056265984655,-0.282289002557544,NA,NA,NA,NA,NA,NA,-0.716128029832194,-0.42314472919891,NA,NA,-0.749045194143857,-0.0470267886488348,NA,NA,-0.710098757566104,-0.392116260330192,-0.725155279503106,-0.3004800470913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.73109108464757,-0.372472237473468,NA,NA,-0.736562600579337,-0.348348973748924,-0.712111801242236,-0.336413550927617,-0.691082802547771,-0.339307272802964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.735752944921999,-0.140981703091934,NA,NA,NA,NA
"30","natural_gas",-0.745341614906832,-0.205434782608695,-0.746273291925466,-0.227950310559006,-0.742857142857143,-0.368167701863354,-0.746971109040074,-0.100240420330375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.747122762148338,-0.245843989769821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","ntia_middle_mile",-0.699689440993789,-0.375757036966795,-0.714596273291925,-0.275104705008456,-0.707453416149068,-0.482210026393564,-0.720254737496117,-0.207539205433388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.712732919254658,-0.135768021114852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.72111801242236,-0.0990675327548877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","ports",-0.742236024844721,-0.263121118012423,-0.747515527950311,-0.197515527950311,-0.742857142857143,-0.543633540372671,-0.748679714196956,-0.0598322460391426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.748081841432225,-0.24769820971867,NA,NA,-0.747762148337596,-0.37653452685422,-0.840838509316771,-0.324145962732919,NA,NA,NA,NA,NA,NA,-0.932367918523234,-0.445751113940166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","public_hsg",-0.229813664596273,-0.184175428314119,-0.130745341614907,-0.105285221108006,-0.262422360248448,-0.322222480326498,-0.140447199180333,-0.0794118887746122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.337376689806357,-0.367427798657363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.592088607594937,-0.128164556962025,-0.230434782608695,-0.241965313167845,-0.316459627329193,-0.32564381133451,NA,NA,NA,NA,NA,NA,0.00310559006211208,-0.171179480948331,-0.24751552795031,-0.123286564838574,-0.37888198757764,-0.123510996433396,-0.242857142857142,-0.285548821019377,NA,NA,-0.170516240708685,-0.13091550491426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.552484472049689,-0.106866784838717,NA,NA
"34","public_hsg_cap",-0.238819875776398,-0.216448632494962,-0.143788819875777,-0.113056275526941,-0.283229813664596,-0.349124558854807,-0.165302628608475,-0.0776656737590956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.346236755571794,-0.372892586088916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.594303797468354,-0.109836849915881,-0.245031055900621,-0.258214042385987,-0.325465838509316,-0.346413340879514,NA,NA,NA,NA,NA,NA,0.0127329192546584,-0.173908717641843,-0.259627329192547,-0.109229532485229,-0.502484472049689,-0.106343388499764,-0.243167701863354,-0.313343763405587,NA,NA,-0.170557478871805,-0.124992626280887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.558695652173913,-0.09254036546108,NA,NA
"35","raise",-0.720807453416149,-0.260980897691316,-0.73695652173913,-0.17484765029884,-0.712111801242236,-0.467681354740419,-0.741379310344828,-0.0712734530236152,NA,NA,NA,NA,NA,NA,NA,NA,-0.739255014326648,-0.0919863881830691,-0.710643722115997,-0.417785033130103,NA,NA,NA,NA,NA,NA,-0.73497442455243,-0.233852482748637,NA,NA,-0.726662404092072,-0.308298750180958,NA,NA,-0.733850931677019,-0.303146607289347,NA,NA,NA,NA,NA,NA,-0.739338001273074,0.0168021810407981,-0.742323796231682,-0.061406338463969,NA,NA,-0.721428571428571,-0.306345951013712,NA,NA,-0.744260204081633,0.0449196187909129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.714906832298137,-0.431832298136646,-0.670382165605096,-0.447061651243841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.735752944921999,-0.0999516438101069,NA,NA,NA,NA
"36","reconnect_community",-0.742236024844721,-0.26583850931677,-0.748757763975155,-0.112422360248447,-0.738509316770186,-0.406987577639752,-0.749922336129232,-0.167885989437714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.739802421924793,-0.487077756532823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.745843989769821,-0.253900255754476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.75,0.316995544239338,NA,NA,NA,NA,-0.742236024844721,-0.395962732919255,NA,NA,-0.75,0.304655612244898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.739130434782609,-0.397127329192547,-0.724522292993631,-0.290684713375796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","rural_surface",-0.746273291925466,-0.433281573498965,-0.747204968944099,-0.311496434322522,-0.746583850931677,-0.458983206809294,-0.747903075489282,-0.380760070415243,NA,NA,NA,NA,NA,NA,NA,NA,-0.748646927730023,-0.197601613074393,-0.747609942638623,-0.220292472204518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.744565217391304,-0.375929478071423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.748953244940684,-0.324429453878163,NA,NA,-0.749068322981366,-0.00989187945709646,NA,NA,-0.749362244897959,0.188362150415722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.748447204968944,-0.152300437083046,-0.748407643312102,-0.276509790044822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","s8_project",-0.207142857142857,-0.200534711919151,-0.179192546583851,-0.171742553149875,-0.130124223602484,-0.213510853499412,-0.216809355939791,-0.183721484991902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.205023748629887,-0.283906882591093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.399414262127526,-0.199536918407672,-0.15,-0.190457470320171,-0.209627329192547,-0.252391220526232,NA,NA,NA,NA,-0.0158385093167701,-0.100868810823044,NA,NA,-0.286335403726708,-0.189130155377295,-0.300931677018633,-0.206885524848912,-0.181366459627329,-0.231629170473564,NA,NA,-0.232055289685368,-0.199772866382012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.39751552795031,-0.221745137649028,NA,NA
"39","safe_streets",-0.654658385093168,-0.247830249945881,-0.686335403726708,-0.18441168634373,-0.604658385093168,-0.414697017634422,-0.706275240758,-0.162243782101413,-0.665527950310559,-0.252321282866801,NA,NA,NA,NA,NA,NA,-0.712671123845909,-0.0594319016928232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.632033248081841,-0.344150901997353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.702547103977669,-0.0755188406556293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.160681647347391,-0.3217819880125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","tribal_broadband",-0.739130434782609,-0.181060423325092,-0.738819875776398,-0.148842187782669,-0.748136645962733,-0.365796297413013,-0.742621932277104,-0.144481944281074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.735714285714286,-0.194120484833866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.73944099378882,-0.187550503527709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
