"","state","GEOID","year","total_state_pop","acp_outreach","ag_acep","ag_csp","ag_eqip","ag_rcpp","ag_reap","ag_reconnect","ag_urban_forest","airport_infrastructure_comp","airport_infrastructure_formula","airport_terminal","asap","bric","bridge","brownfield","buses","capital_investment","carbon_capture_dem","cdbg_entitlement","charge_fuel_infra","clean_hydrogen","clean_school_bus","climate_coasts","coc","crisi","culvert_restore","cwsrf_emerging_combined","cwsrf_general_combined","dac_hubs","dhs_flood","doe_battery","doe_bead_initial","doe_carbon_storage","doe_grid_innovation","doe_grid_resilience","doe_hydrogen_electro","doe_nuclear","doe_rural_energy","doe_weatherization","doi_aging_infra","doi_drought","doi_rural_water","doi_water_recycle","doi_water_storage","dot_tc","dwsrf_emerging_combined","dwsrf_general_combined","dwsrf_lead_combined","elderly","epa_great_lakes","ferry_rural_comms","fhwa_app","fhwa_bridge","fhwa_carbon","fhwa_cmaq","fhwa_ev","fhwa_highway_freight","fhwa_metro_plan","fhwa_nhpp","fhwa_protect","fhwa_protect_comp","fhwa_railway","fhwa_safety","fhwa_spr","fhwa_stp","fhwa_tap","fmcsa_21","fra_intercity_rail","fra_rail_cross","fs_wildfire","fta_5305_combined","fta_5307_5340","fta_5310","fta_5311_combined","fta_5329_e","fta_5337_combined","fta_5339","fta_rail_vehicle","grrp_comp","grrp_elements","grrp_leading","hcv","home","hud_disability","hud_esg","hud_hopwa","hud_htf","indian_health","indian_water","infra","land_port","low_no_emission","mega","motor_carrier_safety","national_lab","natural_gas","nhtsa","ntia_middle_mile","ports","public_hsg","public_hsg_cap","raise","reconnect_community","rural_surface","s8_project","safe_streets","smart_grid","tribal_broadband","ttp","usace"
"32","NJ","34","2022-2023",8885418,1426920,108623,78672,1227522,2411860,1526288,0,22794359,400000,2271858,4800000,34101121,70975277,1980000,4996106,91677500,518500000,0,175183904,10000000,250000000,97060605,5042000,102501963,59136891,0,16419000,194405700,0,44073854,0,100000000,0,0,0,0,0,0,13736805,0,0,0,0,0,350000,39351000,91896920,155064650,47040214,0,20611037,0,492234768,59964471,229105061,37679773,69946388,33174217,1382358523,68183900,0,7565517,149182416,50061821,598377946,60670822,17829362,2577934287,0,225750,14126993,1812941764,32789236,5935663,3715641,620561852,62013882,0,0,0,0,2042987143,80476795,14406007,15509969,34139893,39111354,0,0,34000000,0,0,0,2056860,25500000,0,38029750,24176692,25000000,338421379,213161456,69048000,13215036,0,1292420567,45518921,0,0,0,183300000
"33","NM","35","2022-2023",2097021,1504234,0,5673440,4801276,3332927,1058452,309835959,20500000,0,11780282,14000000,0,0,72000000,1333333,11187649,0,0,36368573,67770009,0,3950000,0,27180890,0,0,1972000,23355620,0,0,0,100000000,41409910,0,53364586,20000000,0,12666667,4864265,30370000,1205182,234110000,300000,0,5662500,22750000,52801080,70891500,5703760,0,0,0,90000000,23773013,25119758,13858406,25725884,4289183,548038303,27031619,2000000,3760296,58382679,18477598,229549132,24949858,10819641,0,31171088,39932664,1551480,70957968,6075883,15664532,0,26920414,11692578,0,6400000,0,2300000,182429935,17610280,3602102,3201553,4009761,6587578,43919526,217974,45000000,0,28558370,0,1248103,16600000,10000000,27046898,24929312,0,29428613,26585825,58991178,0,59800000,67022342,8199200,6699586,39300111,78601867,47700000
"34","NV","32","2022-2023",3030281,1200000,0,407500,585929,0,996000,27751092,11247136,871000,90760555,31000000,0,10582155,0,4017000,115000,149999000,0,45900828,0,0,48398020,0,31189758,0,0,1972000,23355620,0,0,107744831,100000000,4500000,0,0,0,0,0,2838320,37430000,0,0,1000000,0,295000,25437000,58026930,77617360,2205316,0,0,0,90000000,22191120,71684195,13703375,25438093,8747717,511570227,25232856,1624978,2601925,55405875,18259409,222599791,21294772,6897593,1500000000,0,5772411,4054991,134798451,7652649,9242315,0,8488618,17844917,0,0,0,0,396569562,25399578,3561302,3963828,8695929,11454998,0,0,116963754,0,17221648,0,380176,0,0,17673454,51567387,0,29888071,16597476,103771461,31823844,0,48472419,22542004,0,14914775,11501134,0
"35","NY","36","2022-2023",19514849,3075000,0,384919,2058215,0,6147601,0,73546864,751890,14616796,43935000,256056448,197296695,1600000,7800000,27883200,458134600,0,634288996,30495007,0,1147910932,6772000,510956186,40497293,0,44350000,525092070,0,0,117000000,100000000,0,0,17377945,140400000,0,0,51852381,0,0,0,0,0,7053279,97395000,230898690,286169690,252274691,0,14129005,0,817945764,100070346,403201886,63345132,117589963,66547963,2306917641,113787154,112890000,13088343,248496886,83969813,1002853617,96984955,32424683,4871404159,11008000,203500,26871392,2376966299,39390767,31587691,10366523,2299732960,60330918,0,4080000,3838801,0,6984437898,280785267,32737286,55743155,110333809,115025036,0,0,110000000,40000000,186148727,292171053,14991626,190900000,0,75319470,14547750,48008231,2755015848,1694451163,136849482,478526164,959305,4092089275,87687058,24821379,10697449,7040884,1500000
"36","OH","39","2022-2023",11675275,1900000,1252311,1855070,3277560,12500000,6473606,26349406,22125786,0,14297062,8835000,8000000,38316972,44000000,4917410,46614569,24403800,0,301818450,27545691,308333333,202344270,3649000,216436564,22248306,0,22620000,267818550,0,35455700,74999925,100000000,18416058,0,0,43800000,0,0,34533290,0,0,0,0,0,947859,55255000,126121990,273150000,80330037,4324556,0,37900068,208580882,83332993,210756987,50584736,93902358,30869370,1921072135,94755586,10079824,18842260,198991306,67185969,820461556,95422565,25192762,0,10245000,0,12043486,320993585,30843976,38035940,2280888,87465897,29780205,130000000,6480000,2250000,0,1419178460,122546669,19798560,26390212,22690757,33757780,0,0,135889754,0,71446967,125000000,5908084,0,2218193,49203285,27540554,27223711,393156116,242442541,83330518,78657650,29712043,1079044533,23233784,2531797,0,0,3500000
"37","OK","40","2022-2023",3949342,2188901,1126773,4805481,3499296,0,125978,298054562,3502422,0,18922402,10279131,0,0,124957300,2000000,6000000,0,0,55523259,0,0,69459605,0,22504979,5915000,0,3245000,38434710,0,1171926,0,100000000,0,0,6214275,3100000,0,0,6749500,0,0,0,0,0,295000,32526000,75785920,88536080,4565977,0,0,0,115197908,41518633,25872833,23933857,44429323,6890159,957127382,47209661,1334420,11486439,97043827,31802058,407631139,48685808,14394672,0,0,16670801,2281380,50307916,9210860,22123099,966904,539644,11995933,0,0,0,0,352264775,32962682,4239355,4871274,6773153,8973493,17274261,0,0,0,30870121,85000000,22222,0,0,21363355,7273741,23955557,86751326,63844103,85398179,27622313,360378,144664117,28093952,64404749,160130231,159246475,0
"38","OR","41","2022-2023",4176346,1024780,0,5084463,1876886,18786878,1432177,155192624,58198031,3150000,25101860,24400000,0,103403627,701000000,8940000,18285441,0,0,69633191,7294192,333333333,124280000,17773000,96078675,0,19308792,4538000,53741940,0,0,0,100000000,0,250000000,39425516,4700000,0,0,7206408,13188000,72000,0,0,0,2951250,31373000,74372770,84227000,12443744,0,0,0,115372048,32041529,42699885,18862530,35015227,9646156,738652071,36433514,11434048,6617332,77139656,25057022,321171166,30986200,10116208,0,1550000,47584790,3863006,198057386,11216796,18333122,3104051,72683374,17812389,0,0,0,0,811089829,40224109,4275742,6116961,10593085,16036852,4283286,0,104095749,0,15444805,0,199988,0,0,28852593,8019928,24360000,34439944,21337071,63275720,489194000,0,151027214,30441040,59620061,24474861,21191785,0
"39","PA","42","2022-2023",12794885,1150000,0,2558790,3137907,2500000,3617192,0,27949455,1965000,42308213,88000000,84450000,70298166,501560000,13159477,0,22879664,0,373607431,0,558333333,206963400,0,222984808,20050367,0,15916000,188445000,0,6087660,0,100000000,18416058,0,100000000,6100000,0,0,37137936,0,0,0,0,0,927859,71733000,168302470,285027040,60289684,0,0,34865700,706755846,102803240,230002604,61918279,114941242,34564892,2369918943,116894651,20914000,14214436,254514616,82446220,1035997153,93877716,26959827,178449028,16438596,0,14445967,649786099,35779498,46047513,5467593,472073169,36419796,317160000,26480000,0,5000000,1609787459,127618643,19557293,32720571,33559715,38080484,0,0,74156564,0,103360000,78000000,1151433,0,15227953,51151012,0,0,810183603,400722857,105320000,166774053,69000000,959281869,73868605,69224715,0,0,861066000
"40","PR","72","2022-2023",3255642,740000,0,424909,2628998,0,0,8783620,8000000,2200000,10670250,6000000,0,0,0,500000,0,0,0,109078124,51480000,0,9875000,24450000,41550317,0,0,5241000,62049860,0,0,0,100000000,0,0,0,0,0,0,1338964,0,0,0,0,0,350000,22750000,52801080,70891500,17256736,0,0,0,90000000,0,0,4936067,0,0,349970000,0,0,0,0,0,0,0,3357473,0,0,477628,5475429,125001604,14545431,3054904,1214310,22051537,11209102,0,0,0,0,385725344,50522704,2938150,9592367,22212716,6101981,0,0,90000000,0,20000000,0,200694,0,0,17112567,9303469,0,559477735,353122182,28000000,1573565,0,277087969,649529,0,0,0,208848000
"41","RI","44","2022-2023",1057798,450000,0,90555,390920,0,45850,0,6750000,0,2543130,0,0,0,251000000,3000000,0,0,0,32387431,0,0,9875000,691000,24225584,0,0,2698000,31942500,0,0,0,100000000,0,0,0,9900000,0,0,2974343,0,0,0,0,0,350000,22750000,52801080,70891500,16580602,0,0,0,101980494,13891443,22956809,8253211,15320747,4948614,320238882,15795566,54750800,2450000,33862419,10963415,137960321,10820932,3154403,2000000,0,0,1794398,108340586,2694264,961680,0,15968618,10299162,0,0,0,10320000,215780294,13565513,9683615,2863297,4921963,6048846,0,0,163503600,0,5000000,0,465100,0,0,23254030,0,11250000,90785374,59790229,59416800,0,0,394700686,32400000,50000000,0,1283692,0
"42","SC","45","2022-2023",5091517,225750,0,2436975,1986866,3109756,138864,30207808,6290015,590000,13757180,8000000,0,0,175720000,4000000,15423904,0,0,76618181,0,0,64780000,15026250,24172786,4170000,0,4116000,48736170,0,1182324,0,100000000,0,0,4665803,49900000,0,6334444,5092439,0,0,0,0,0,1040000,29117000,67207980,86515840,13291606,0,0,0,118488496,43769412,28831896,25270242,46910105,8393704,1009014481,49768958,352338,9555975,104857856,33609724,427236159,53818313,12788070,0,60000,50000,3458615,78460698,14187220,20047773,0,280087,13822480,0,0,0,0,433118765,38071529,11558232,6648278,21049270,12845493,0,0,0,0,36178036,0,792109,20000000,10664554,21038795,0,0,111383555,85260122,35600900,10269074,0,240920588,16638060,0,0,2326906,0
"43","SD","46","2022-2023",879336,200000,2034000,7880588,3217815,61114709,2399811,16957883,3000000,0,8509082,11755000,0,2827500,0,0,2019508,0,0,14751788,0,308333333,2810000,0,4653978,24712204,0,1972000,23355620,0,257222,0,100000000,0,58000000,6214275,0,0,0,4538080,22670000,0,45166667,0,0,2803750,22750000,52801080,70891500,483234,0,0,0,90000000,18022630,26999029,10642535,19756139,4709035,415474964,20493023,60390500,5271395,41840002,14123861,174874896,18152526,5685778,0,0,62289,1551480,10722520,2224535,9656308,0,0,8907115,0,0,0,0,75616536,7145673,408840,1282774,0,5982970,10270204,0,16780703,0,2344402,0,2021660,0,0,13316776,0,0,8776374,7861512,35699517,0,92944007,47291815,628264,0,2675391,41915526,0
"44","TN","47","2022-2023",6772268,1200000,0,5311553,3387727,15901022,655908,1586520,16314541,3476341,59089692,28275000,0,0,197120000,2500000,71000000,74295599,0,100352066,0,0,78120000,0,55266809,27433500,0,5836000,69108950,0,0,541680442,100000000,0,0,32375691,6300000,0,13881111,11281467,0,0,0,0,0,295000,39107000,90321970,163128070,18158101,0,0,29926462,161309452,54021105,81528200,31889790,59198223,12810169,1245346344,61425867,0,10830694,130381198,42445962,531113025,62614259,17061052,0,27483694,232000,4992570,153771080,17308663,30893168,1279384,12121323,16765367,0,7040000,2250000,0,599817861,56389542,5730090,8812808,22875725,16206291,0,0,22600000,0,26023905,0,630749,490900000,311845,54692408,0,0,154605512,121754680,101271636,47293480,0,805252488,26116372,2531797,0,28817,0
"45","TX","48","2022-2023",28635442,3285000,25649739,4376981,12434564,73242213,8689297,183719682,31599722,4710000,174596768,179770000,0,67129049,800000,6500000,29650646,231818856,270000000,484802261,100000000,600000000,429982379,8325667,242785295,14842032,0,18365000,217439030,0,190298770,0,100000000,97188423,0,20000000,90000000,0,0,16685211,0,0,0,23105500,0,937859,179318000,417315570,477256950,51892868,0,0,0,230722164,248918183,384130332,147210686,273272761,69143513,5738300809,283037810,26046573,42080427,608595048,195918096,2466759708,269013975,78907219,0,86965264,38785080,31219638,881732258,61405648,62436296,5373041,154632649,71469082,0,59200000,625502,0,3174188300,212679753,15625045,42122792,91575422,69769336,0,0,25000000,830000000,251720698,0,1435900,0,0,107469534,86076053,39978000,312649256,233350825,198759493,236470990,0,1122765233,128370801,54211866,3123357,3735381,630932000
"46","UT","49","2022-2023",3151239,1028589,0,468962,1688036,22451221,309086,4427690,3802040,0,15460924,29000000,0,46648062,800000,4149378,13488953,185415061,0,43190473,0,0,29192000,0,25027236,0,0,2118000,25067220,0,0,0,100000000,0,0,39425516,38900000,0,2666667,5247182,173125832,54237421,0,16396542,0,2996250,22750000,52801080,70891500,3638813,0,0,0,90000000,22241769,28435903,13104152,24325733,8635383,512738590,25290485,5440487,3887167,54253114,17383875,222260063,22191524,8058942,0,3232000,10611985,3448549,137609270,6157486,9605086,2157007,71740154,15430306,60000000,0,0,0,237317185,17610548,985830,3750692,3091759,6628392,404800,210425,0,0,17055353,0,3532877,0,0,12784360,0,0,7478042,8875508,50689147,89588600,76381480,114334423,5550125,9990221,16354542,21729168,50000
"47","VA","51","2022-2023",8509358,688990,0,5117705,2678736,14427202,2324474,25000000,17700000,0,7784011,79665000,0,57923982,0,4500000,29690010,8134600,0,115477130,1452800,0,49505000,16634000,62359481,100000000,434400,8224000,97360760,0,3802052,0,100000000,4296915,0,0,0,0,0,10660833,0,0,0,0,0,3549109,35443000,80446930,117638440,34258677,0,0,40904223,231182510,64351564,120875240,38402827,71288618,20146488,1483493992,73172339,34690910,9812138,158403713,51115226,632611538,74654247,18380988,364500000,3200000,0,9103880,502589416,20730156,25390128,1073830,146861924,29851323,0,0,0,14820000,1105094716,58669742,7621120,10105820,12910401,23602464,0,0,0,0,101414802,0,8434383,76500000,17120650,54603064,0,0,158582571,112774441,96146710,11250000,25000000,537302876,36406543,57970859,1000000,862334,321143295
"48","VT","50","2022-2023",624340,500000,0,460561,840722,20731707,1296000,17463911,2363190,0,5771255,2090000,0,0,0,2370200,3279616,0,0,16096139,0,0,4345000,0,11154292,3218263,0,1972000,23355620,0,0,0,100000000,0,0,0,0,0,0,3278331,0,0,0,0,0,594222,22750000,52801080,70891500,3022584,0,0,0,90000000,12743794,26072520,7659098,14217873,5586286,293782141,14490605,0,2450000,30862445,10157121,129334352,10728269,3311665,0,0,0,1551480,8063099,1541249,5936854,0,0,8357209,0,0,0,0,147545161,6907258,893559,1387585,1497540,6048846,0,0,0,225000000,31620437,0,2840000,0,0,18280618,0,0,3558343,2323896,57008624,8094234,0,63833670,1508148,19176053,0,0,250000
"49","WA","53","2022-2023",7512465,1280235,0,4969081,4175900,74270878,3006703,115993550,36365854,0,64201561,70165000,15000000,54225159,702400000,3768689,23313801,1130819719,0,114466251,33897803,333333333,229039500,66985000,172379007,76895000,58038064,6987000,82730990,0,0,200000000,100000000,0,0,6214275,0,0,32000000,11516460,20180470,0,0,5445750,7000000,11610000,51251000,119413040,123020640,29373155,0,16400000,0,261358524,42692683,81330721,25583058,47490797,19512231,984193819,48544695,24799623,8618438,102980936,33895866,426598994,42621605,16167367,0,44480000,51611128,8265446,436758112,20340546,19049902,2661947,226744282,36483020,0,0,0,0,1793027604,59471019,6228328,9976403,11557138,25267085,3791419,0,129095749,240000000,65195250,0,713207,8200000,0,31918072,11782208,71488445,135602222,67074943,228550442,74730356,0,380171770,73831969,49610282,71288578,51925050,36016000
"50","WI","55","2022-2023",5806975,1389800,2332136,4781473,2836266,19414272,4992404,28000000,13500000,808000,20780238,7700000,0,15883709,0,8000000,0,118734600,0,120476402,0,0,106876889,2225000,65939544,2045160,0,10861000,128612840,0,0,0,100000000,0,3012462,20000000,0,0,23860000,21837614,0,0,0,0,0,2951250,38836000,90200340,153198310,12187538,66127615,0,0,90000000,48396268,60300984,28395118,52710932,12183303,1115677209,55030024,506000,12577078,113931416,37707647,467294779,64611869,15699884,0,9999600,1099248,4846905,138500970,14929256,23956374,1224670,5720436,18764853,0,0,582887,3780000,392158904,53708654,5514725,10842910,9892358,17671523,7743315,0,617199100,0,42412896,0,801375,0,0,26959309,4963359,10134800,47219230,59735632,66181590,39560000,0,391883906,19115156,0,27657956,25048013,4310000
"51","WV","54","2022-2023",1807426,0,0,1357347,1191244,0,2511987,0,1500000,1200000,4776917,17000000,0,0,44000000,5345052,0,0,0,42020601,0,308333333,169060000,0,18299848,19442500,0,6262000,74161050,0,0,0,100000000,18416058,0,0,13800000,0,0,7701549,0,0,0,0,0,2340000,22750000,52801080,70891500,6401488,0,0,77359090,219233496,28263638,31523845,16492070,30614853,4536098,651560503,32137782,3280000,4243893,69637637,22006244,286975667,23660205,5818665,0,576000,0,1551481,30219611,6010952,16834670,994404,2411366,9792318,0,0,0,0,188558495,17385440,3885900,3652657,3010966,6048846,0,0,0,0,0,0,849538,0,3769158,16773196,25054093,0,47184502,36661236,46302361,1008000,38480000,108608836,1887240,2531797,0,0,16928000
"52","WY","56","2022-2023",581348,474777,0,1485853,2157325,25000000,144769,15896375,799900,995000,26916718,8000000,0,0,0,2500000,0,0,0,6978050,0,0,526000,0,1176364,2424000,0,1972000,23355620,0,886297,0,100000000,49503192,0,6214275,0,0,0,2768532,89000000,5529984,0,0,0,0,22750000,52801080,70891500,1076290,0,0,0,90000000,16414499,22934769,9667852,17946799,4212964,378402771,18664461,0,2450000,40457720,12876597,158798291,12403394,4343429,0,0,994325,1551481,5808836,1437362,9491542,0,0,8496303,0,0,0,0,33954395,7000045,200172,697947,0,5986334,235000,0,0,0,945178,0,160000,0,0,10681096,0,0,5065468,4180849,14790000,250000,26640000,24497832,3322045,16689807,0,12329453,0
