"","program","percent_poc_concentration","poverty_rate_concentration","med_hh_income_concentration","pop_density_concentration","access_to_car_concentration","age_over_64_concentration","age_under_18_concentration","airports_primary_concentration","annual_vehicle_mi_per_hh_concentration","avg_hh_person_trips_concentration","bridges_concentration","bridges_poor_condition_concentration","broadband_speed_concentration","capacity_environment_concentration","capacity_housing_concentration","capacity_transport_concentration","cnw_500_concentration","commute_time_concentration","contaminated_sites_concentration","diesel_pm_concentration","docks_concentration","employment_access_index_concentration","energy_cost_hh_concentration","freq_fatal_accidents_concentration","ghg_per_acre_concentration","green_commute_concentration","hh_int_access_concentration","highway_miles_concentration","homelessness_concentration","housing_cost_burden_concentration","housing_units_concentration","hud_202_concentration","hud_hcv_concentration","hud_pbs8_concentration","hud_ph_concentration","incomplete_kitchen_concentration","incomplete_plumbing_concentration","intercity_km_concentration","overcrowded_housing_concentration","ozone_concentration","permits_concentration","pm25_concentration","pub_transit_commute_concentration","pub_transit_stops_concentration","rail_transit_km_concentration","rr_freight_route_miles_concentration","rr_incident_killed_concentration","rr_incident_number_concentration","rr_pax_route_miles_concentration","stations_elevated_concentration","stations_subway_concentration","superfund_site_concentration","transport_costs_concentration","transport_trade_jobs_concentration","vacancy_rate_concentration","water_system_violations_concentration"
"22","crisi",0.404105690200874,0.967318754653661,0.444769735258478,-0.169499527569722,-0.0269188165530051,NA,NA,NA,0.344825913436974,0.585577744615114,NA,NA,NA,NA,NA,0.701321853995007,NA,0.030557843631368,NA,NA,NA,NA,NA,1.20723039405908,NA,-0.0038440722127947,NA,0.945976180189911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0966599930973193,1.24588873399971,-0.0586974405492694,0.0581390403813995,-0.537191528165567,NA,NA,NA,1.41459488401,-0.430769502591689,NA,NA
"23","culvert_restore",-0.883503869114455,0.241320846751627,0.577108965290702,-0.969586182386976,NA,NA,NA,NA,NA,NA,1.10291200832646,-0.0445207563913405,NA,NA,NA,NA,-0.8677096172557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","dac_hubs",-1,2.96704656299667,2.99851544836391,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,-1,NA,-1,-1,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","dhs_flood",-0.0715431525884234,0.388934770031796,0.0280253621330833,-0.336283791920464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.11653669051876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","doe_battery",-0.524669118410871,1.01596978993528,1.11851985855507,-0.631835308203361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.542427904406776,-0.70468596733876,NA,1.32299391081857,1.11792617987318,NA,-0.777978086692414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.706064312381278,NA,-0.732913451193996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","doe_carbon_storage",-0.221237472651983,0.0939639240761161,0.947157987968799,-0.89051613974187,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.481589864297968,NA,NA,NA,NA,NA,-0.830629544047248,NA,0.910700201965543,0.897345549804624,NA,-0.788903262956654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.470715992800487,NA,-0.12287393060389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","doe_grid_innovation",-0.744420241977138,-1,-0.472925884113661,-0.738304165632713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.578592051706048,NA,NA,-0.473073587551566,NA,-0.479547666697859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","doe_grid_resilience",0.708994643076321,-0.0960485558526206,0.195346151614169,0.528610585409313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.404749805198614,NA,NA,-0.493122875142775,NA,-0.267490885266808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0628399735597361,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","doe_hydrogen_electro",-0.282346171737437,-0.0831790021930983,-0.100419535569112,0.587326045511008,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.29171086496169,NA,NA,NA,NA,NA,-0.322168501668648,NA,-0.715572067094565,-0.573702393766706,NA,-0.0807609348033733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.291910373606373,NA,0.0202105338252376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","doe_rural_energy",0.449707186704269,1.01371126242781,0.386268121256822,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,1.91808613353179,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.775080908267018,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
